,Year,Month,Day,Hour,GHI,Energy,conversion_efficiency
1179,2013,6,14,5,24,0.0,0.050892634134724696
7988,2018,5,9,5,14,0.0,0.049977853866393245
1177,2013,6,13,5,38,0.0,0.050892634134724696
1175,2013,6,12,5,13,0.0,0.050892634134724696
7986,2018,5,8,5,47,0.0,0.049977853866393245
7957,2018,4,21,5,8,0.0,0.049977853866393245
7985,2018,5,7,5,58,0.0,0.049977853866393245
7990,2018,5,11,5,27,0.0,0.049977853866393245
1171,2013,6,10,5,39,0.0,0.050892634134724696
1169,2013,6,9,5,12,0.0,0.050892634134724696
1167,2013,6,8,5,23,0.0,0.050892634134724696
1166,2013,6,7,5,34,0.0,0.050892634134724696
7982,2018,5,5,5,50,0.0,0.049977853866393245
7981,2018,5,4,5,24,0.0,0.049977853866393245
1163,2013,6,6,5,11,0.0,0.050892634134724696
1161,2013,6,5,5,15,0.0,0.050892634134724696
1160,2013,6,4,5,22,0.0,0.050892634134724696
7979,2018,5,3,5,27,0.0,0.049977853866393245
7984,2018,5,6,5,50,0.0,0.049977853866393245
1183,2013,6,16,5,17,0.0,0.050892634134724696
7991,2018,5,12,5,8,0.0,0.049977853866393245
1185,2013,6,17,5,38,0.0,0.050892634134724696
8010,2018,5,27,5,94,0.187912986,0.049977853866393245
1210,2013,6,28,5,34,0.0,0.050892634134724696
8009,2018,5,26,5,93,0.12515837,0.049977853866393245
1208,2013,6,27,5,34,0.0,0.050892634134724696
8008,2018,5,24,5,82,0.079622708,0.049977853866393245
1205,2013,6,26,5,7,0.0,0.050892634134724696
1203,2013,6,25,5,7,0.0,0.050892634134724696
8005,2018,5,19,5,80,0.18790397,0.049977853866393245
8004,2018,5,18,5,56,0.0,0.049977853866393245
8002,2018,5,17,5,55,0.0,0.049977853866393245
1197,2013,6,24,5,16,0.0,0.050892634134724696
1196,2013,6,23,5,28,0.0,0.050892634134724696
8000,2018,5,16,5,77,0.0,0.049977853866393245
1194,2013,6,22,5,14,0.0,0.050892634134724696
7996,2018,5,15,5,8,0.0,0.049977853866393245
1191,2013,6,21,5,24,0.0,0.050892634134724696
7993,2018,5,14,5,7,0.0,0.049977853866393245
1189,2013,6,20,5,35,0.0,0.050892634134724696
1188,2013,6,19,5,36,0.0,0.050892634134724696
7992,2018,5,13,5,12,0.0,0.049977853866393245
1186,2013,6,18,5,39,0.0,0.050892634134724696
5726,2012,8,21,5,13,0.0,0.049977853866393245
5658,2012,7,16,5,69,0.0,0.049977853866393245
5643,2012,7,3,5,82,0.0,0.049977853866393245
5655,2012,7,14,5,68,0.0,0.049977853866393245
9238,2020,8,21,5,14,0.0,0.049977853866393245
5587,2012,5,20,5,40,0.0,0.049977853866393245
9240,2020,8,22,5,7,0.0,0.049977853866393245
5586,2012,5,19,5,80,0.0,0.049977853866393245
9242,2020,8,23,5,9,0.0,0.049977853866393245
5585,2012,5,18,5,83,0.0,0.049977853866393245
9244,2020,8,24,5,6,0.0,0.049977853866393245
5584,2012,5,17,5,83,0.0,0.049977853866393245
9246,2020,8,25,5,6,0.0,0.049977853866393245
5583,2012,5,16,5,79,0.0,0.049977853866393245
9248,2020,8,26,5,6,0.0,0.049977853866393245
5582,2012,5,15,5,76,0.0,0.049977853866393245
9250,2020,8,27,5,5,0.0,0.049977853866393245
5581,2012,5,14,5,79,0.0,0.049977853866393245
9252,2020,8,28,5,5,0.0,0.049977853866393245
5580,2012,5,13,5,71,0.0,0.049977853866393245
9254,2020,8,29,5,6,0.0,0.049977853866393245
5579,2012,5,12,5,27,0.0,0.049977853866393245
9256,2020,8,30,5,5,0.0,0.049977853866393245
5578,2012,5,11,5,65,0.0,0.049977853866393245
6229,2013,7,15,5,68,0.0,0.049977853866393245
5588,2012,5,21,5,95,0.0,0.049977853866393245
9236,2020,8,20,5,14,0.0,0.049977853866393245
5589,2012,5,22,5,92,0.0,0.049977853866393245
9234,2020,8,19,5,16,0.0,0.049977853866393245
5601,2012,6,1,5,107,0.0,0.049977853866393245
9211,2020,8,7,5,30,0.0,0.049977853866393245
9212,2020,8,8,5,27,0.0,0.049977853866393245
9214,2020,8,9,5,27,0.0,0.049977853866393245
5598,2012,5,31,5,14,0.0,0.049977853866393245
9216,2020,8,10,5,26,0.0,0.049977853866393245
5597,2012,5,30,5,101,0.0,0.049977853866393245
9218,2020,8,11,5,27,0.0,0.049977853866393245
5596,2012,5,29,5,103,0.0,0.049977853866393245
9220,2020,8,12,5,25,0.0,0.049977853866393245
5577,2012,5,10,5,66,0.0,0.049977853866393245
5595,2012,5,28,5,44,0.0,0.049977853866393245
9224,2020,8,14,5,20,0.0,0.049977853866393245
5594,2012,5,27,5,62,0.0,0.049977853866393245
9226,2020,8,15,5,11,0.0,0.049977853866393245
5593,2012,5,26,5,35,0.0,0.049977853866393245
9228,2020,8,16,5,12,0.0,0.049977853866393245
5592,2012,5,25,5,61,0.0,0.049977853866393245
9230,2020,8,17,5,16,0.0,0.049977853866393245
5591,2012,5,24,5,85,0.0,0.049977853866393245
9232,2020,8,18,5,17,0.0,0.049977853866393245
5590,2012,5,23,5,66,0.0,0.049977853866393245
9223,2020,8,13,5,14,0.0,0.049977853866393245
9209,2020,8,6,5,11,0.0,0.049977853866393245
