,Year,Month,Day,Hour,GHI,Energy,conversion_efficiency
1483,2013,6,9,5,12,0.0,0.0
1481,2013,6,8,5,23,0.0,0.0
1479,2013,6,7,5,34,0.0,0.0
11785,2020,8,18,5,17,0.0,0.0
1473,2013,6,5,5,15,0.0,0.0
1471,2013,6,4,5,22,0.0,0.0
1469,2013,6,3,5,38,0.0,0.0
1467,2013,6,2,5,38,0.0,0.0
1465,2013,6,1,5,26,0.0,0.0
1463,2013,5,31,5,32,0.0,0.0
1460,2013,5,30,5,21,0.0,0.0
1458,2013,5,29,5,16,0.0,0.0
1454,2013,5,28,5,5,0.0,0.0
1452,2013,5,27,5,7,0.0,0.0
1446,2013,5,26,5,4,0.0,0.0
1440,2013,5,25,5,4,0.0,0.0
1438,2013,5,24,5,30,0.0,0.0
1436,2013,5,23,5,5,0.0,0.0
1431,2013,5,21,5,15,0.0,0.0
3917,2018,6,22,5,9,0.0,0.0
3919,2018,6,23,5,34,0.0,0.0
3921,2018,6,24,5,36,0.0,0.0
9751,2017,8,7,5,27,0.0,0.0
9749,2017,8,6,5,14,0.0,0.0
9747,2017,8,5,5,39,0.0,0.0
9745,2017,8,4,5,41,0.0,0.0
9742,2017,8,3,5,12,0.0,0.0
9740,2017,8,2,5,28,0.0,0.0
9738,2017,8,1,5,40,0.0,0.0
12565,2021,4,11,5,1,0.0,0.0
9737,2017,7,31,5,47,0.0,0.0
12568,2021,4,12,5,5,0.0,0.0
9735,2017,7,30,5,52,0.0,0.0
12570,2021,4,13,5,6,0.0,0.0
12572,2021,4,14,5,7,0.0,0.0
12574,2021,4,15,5,9,0.0,0.0
9732,2017,7,27,5,49,0.0,0.0
12576,2021,4,16,5,8,0.0,0.0
12578,2021,4,17,5,5,0.0,0.0
9729,2017,7,26,5,29,0.0,0.0
12580,2021,4,18,5,6,0.0,0.0
9728,2017,7,25,5,56,0.0,0.0
12582,2021,4,19,5,4,0.0,0.0
12584,2021,4,20,5,6,0.0,0.0
9726,2017,7,24,5,61,0.0,0.0
9753,2017,8,8,5,34,0.0,0.0
9755,2017,8,9,5,31,0.0,0.0
9757,2017,8,10,5,24,0.0,0.0
9759,2017,8,11,5,25,0.0,0.0
3924,2018,6,26,5,14,0.0,0.0
3927,2018,6,27,5,36,0.0,0.0
3929,2018,6,28,5,34,0.0,0.0
3931,2018,6,29,5,30,0.0,0.0
3933,2018,6,30,5,31,0.0,0.0
3937,2018,7,3,5,30,0.0,0.0
3940,2018,7,5,5,25,0.0,0.0
3942,2018,7,6,5,29,0.0,0.0
3946,2018,7,9,5,27,0.0,0.0
3948,2018,7,10,5,22,0.0,0.0
3950,2018,7,11,5,20,0.0,0.0
1498,2013,6,16,5,17,0.0,0.0
3959,2018,7,19,5,3,0.0,0.0
3967,2018,7,22,5,11,0.0,0.0
3970,2018,7,24,5,8,0.0,0.0
3972,2018,7,25,5,9,0.0,0.0
3975,2018,7,27,5,8,0.0,0.0
3978,2018,7,29,5,3,0.0,0.0
3980,2018,7,30,5,4,0.0,0.0
3983,2018,8,1,5,4,0.0,0.0
9771,2017,8,16,5,14,0.0,0.0
9769,2017,8,15,5,13,0.0,0.0
9764,2017,8,14,5,14,0.0,0.0
9761,2017,8,12,5,27,0.0,0.0
3964,2018,7,20,5,5,0.0,0.0
11783,2020,8,17,5,16,0.0,0.0
11755,2020,8,3,5,43,0.0,0.0
11779,2020,8,15,5,11,0.0,0.0
11161,2019,8,6,5,32,0.0,0.0
6206,2021,5,20,5,6,0.0,0.0
11163,2019,8,7,5,25,0.0,0.0
11165,2019,8,8,5,28,0.0,0.0
6202,2021,5,18,5,4,0.0,0.0
11167,2019,8,9,5,33,0.0,0.0
11168,2019,8,10,5,17,0.0,0.0
11170,2019,8,11,5,12,0.0,0.0
6199,2021,5,17,5,3,0.0,0.0
11173,2019,8,13,5,23,0.0,0.0
11159,2019,8,5,5,28,0.0,0.0
6195,2021,5,15,5,3,0.0,0.0
11178,2019,8,16,5,10,0.0,0.0
6193,2021,5,14,5,12,0.0,0.0
11180,2019,8,17,5,5,0.0,0.0
6191,2021,5,13,5,15,0.0,0.0
6189,2021,5,12,5,15,0.0,0.0
11185,2019,8,20,5,2,0.0,0.0
6187,2021,5,11,5,8,0.0,0.0
11189,2019,8,21,5,7,0.0,0.0
7966,2013,6,13,5,105,0.0,0.0
11192,2019,8,24,5,7,0.0,0.0
11176,2019,8,15,5,18,0.0,0.0
6210,2021,5,22,5,7,0.0,0.0
11155,2019,8,2,5,46,0.0,0.0
11153,2019,8,1,5,46,0.0,0.0
11120,2019,7,14,5,74,0.0,0.0
6232,2021,6,4,5,38,0.0,0.0
6230,2021,6,3,5,37,0.0,0.0
6228,2021,6,2,5,34,0.0,0.0
11122,2019,7,15,5,73,0.0,0.0
11124,2019,7,16,5,70,0.0,0.0
6226,2021,6,1,5,21,0.0,0.0
11126,2019,7,17,5,59,0.0,0.0
11130,2019,7,18,5,37,0.0,0.0
6223,2021,5,30,5,38,0.0,0.0
11134,2019,7,21,5,18,0.0,0.0
6221,2021,5,29,5,40,0.0,0.0
11137,2019,7,23,5,61,0.0,0.0
11139,2019,7,24,5,57,0.0,0.0
6219,2021,5,28,5,28,0.0,0.0
11141,2019,7,25,5,54,0.0,0.0
11142,2019,7,26,5,15,0.0,0.0
11145,2019,7,28,5,44,0.0,0.0
6216,2021,5,26,5,31,0.0,0.0
11147,2019,7,29,5,47,0.0,0.0
11149,2019,7,30,5,52,0.0,0.0
11151,2019,7,31,5,50,0.0,0.0
6213,2021,5,24,5,9,0.0,0.0
11194,2019,8,25,5,3,0.0,0.0
6234,2021,6,5,5,38,0.0,0.0
6183,2021,5,8,5,9,0.0,0.0
6181,2021,5,7,5,4,0.0,0.0
7976,2013,6,18,5,107,0.0,0.0
7978,2013,6,19,5,102,0.0,0.0
7979,2013,6,20,5,100,0.0,0.0
7980,2013,6,21,5,62,0.0,0.0
7982,2013,6,22,5,30,0.0,0.0
7983,2013,6,23,5,88,0.0,0.0
7984,2013,6,24,5,37,0.0,0.0
7991,2013,6,25,5,50,0.0,0.0
7939,2013,5,28,5,15,0.0,0.0
7992,2013,6,26,5,27,0.0,0.0
7943,2013,5,29,5,51,0.0,0.0
7938,2013,5,27,5,7,0.0,0.0
7934,2013,5,26,5,6,0.0,0.0
7996,2013,6,28,5,102,0.0,0.0
7928,2013,5,25,5,10,0.0,0.0
7998,2013,6,29,5,95,0.0,0.0
7927,2013,5,24,5,101,0.0,0.0
7926,2013,5,23,5,19,0.0,0.0
8000,2013,6,30,5,85,0.0,0.0
8001,2013,7,1,5,98,0.0,0.0
7924,2013,5,22,5,85,0.0,0.0
8002,2013,7,2,5,93,0.0,0.0
7994,2013,6,27,5,99,0.0,0.0
7975,2013,6,17,5,71,0.0,0.0
7974,2013,6,16,5,51,0.0,0.0
7944,2013,5,30,5,68,0.0,0.0
11199,2019,8,27,5,8,0.0,0.0
6179,2021,5,6,5,6,0.0,0.0
11203,2019,8,30,5,2,0.0,0.0
6177,2021,5,5,5,6,0.0,0.0
11205,2019,8,31,5,4,0.0,0.0
11207,2019,9,1,5,3,0.0,0.0
6175,2021,5,4,5,3,0.0,0.0
11209,2019,9,2,5,2,0.0,0.0
11211,2019,9,3,5,2,0.0,0.0
6173,2021,5,3,5,2,0.0,0.0
11213,2019,9,4,5,2,0.0,0.0
11215,2019,9,6,5,2,0.0,0.0
6171,2021,5,2,5,3,0.0,0.0
6169,2021,5,1,5,2,0.0,0.0
6167,2021,4,30,5,1,0.0,0.0
6165,2021,4,29,5,1,0.0,0.0
6163,2021,4,28,5,1,0.0,0.0
7950,2013,6,3,5,109,0.0,0.0
7968,2013,6,14,5,53,0.0,0.0
7948,2013,6,2,5,47,0.0,0.0
7970,2013,6,15,5,27,0.0,0.0
7947,2013,6,1,5,75,0.0,0.0
7946,2013,5,31,5,55,0.0,0.0
11196,2019,8,26,5,6,0.0,0.0
7952,2013,6,4,5,66,0.0,0.0
6236,2021,6,6,5,38,0.0,0.0
7954,2013,6,5,5,53,0.0,0.0
11034,2019,5,13,5,74,0.0,0.0
11036,2019,5,14,5,33,0.0,0.0
11037,2019,5,15,5,74,0.0,0.0
6302,2021,7,9,5,6,0.0,0.0
11039,2019,5,16,5,51,0.0,0.0
11040,2019,5,17,5,4,0.0,0.0
7960,2013,6,9,5,29,0.0,0.0
11043,2019,5,18,5,34,0.0,0.0
11046,2019,5,19,5,22,0.0,0.0
6315,2021,7,15,5,4,0.0,0.0
11033,2019,5,12,5,17,0.0,0.0
11048,2019,5,20,5,89,0.0,0.0
6317,2021,7,16,5,9,0.0,0.0
11062,2019,5,30,5,97,0.161425486,0.06705756487309988
6299,2021,7,7,5,13,0.0,0.0
11065,2019,6,7,5,103,0.080716632,0.03157717089560409
11066,2019,6,8,5,113,0.053811412,0.01918860286400074
11068,2019,6,9,5,107,0.161435142,0.060794139045336655
11069,2019,6,10,5,117,0.09417107,0.03243239743742535
6319,2021,7,17,5,10,0.0,0.0
11072,2019,6,13,5,116,0.161439016,0.05607869809769929
11074,2019,6,14,5,81,0.0,0.0
11052,2019,5,23,5,93,0.161418721,0.069938830100747
11031,2019,5,11,5,9,0.0,0.0
11029,2019,5,10,5,70,0.0,0.0
11027,2019,5,9,5,36,0.0,0.0
10989,2019,4,18,5,5,0.0,0.0
10983,2019,4,15,5,8,0.0,0.0
10991,2019,4,19,5,16,0.0,0.0
10993,2019,4,20,5,17,0.0,0.0
10981,2019,4,13,5,5,0.0,0.0
10996,2019,4,22,5,13,0.0,0.0
10979,2019,4,12,5,1,0.0,0.0
10999,2019,4,23,5,21,0.0,0.0
6309,2021,7,12,5,4,0.0,0.0
11001,2019,4,24,5,11,0.0,0.0
11004,2019,4,25,5,27,0.0,0.0
11006,2019,4,26,5,34,0.0,0.0
10973,2019,4,9,5,2,0.0,0.0
6312,2021,7,14,5,10,0.0,0.0
11011,2019,4,29,5,5,0.0,0.0
11013,2019,4,30,5,5,0.0,0.0
11015,2019,5,1,5,16,0.0,0.0
11017,2019,5,2,5,13,0.0,0.0
11019,2019,5,3,5,48,0.0,0.0
11021,2019,5,4,5,48,0.0,0.0
6305,2021,7,10,5,4,0.0,0.0
11023,2019,5,5,5,16,0.0,0.0
11025,2019,5,6,5,40,0.0,0.0
11075,2019,6,16,5,89,0.161441877,0.0730926321610413
6297,2021,7,6,5,19,0.0,0.0
11078,2019,6,20,5,83,0.0,0.0
11082,2019,6,22,5,27,0.0,0.0
7964,2013,6,12,5,23,0.0,0.0
