,Year,Month,Day,GHI,Energy,conversion_efficiency
7585,2014,12,1,104,0.099673696,0.021076165549330592
9994,2016,1,1,381,0.207000017,0.01939967356210773
949,2019,8,1,4,0.0,0.006189134347155545
10536,2018,1,1,437,0.129000008,0.02129186638497918
10491,2016,1,1,448,0.500500023,0.02129186638497918
10490,2016,1,1,421,0.338500023,0.02129186638497918
10423,2014,2,1,129,0.051000003,0.02129186638497918
10422,2014,2,1,131,0.0,0.02129186638497918
823,2018,8,1,4,0.0,0.006189134347155545
824,2018,8,1,46,0.0,0.006189134347155545
841,2019,5,1,1,0.0,0.006189134347155545
842,2019,5,1,16,0.0,0.006189134347155545
10254,2021,1,1,159,0.0,0.01939967356210773
10253,2021,1,1,154,0.0,0.01939967356210773
10221,2020,2,1,233,0.083500005,0.01939967356210773
10220,2020,2,1,202,0.048500001,0.01939967356210773
10185,2019,11,1,422,0.87500006,0.01939967356210773
10160,2019,2,1,458,0.0,0.01939967356210773
10159,2019,2,1,399,0.0,0.01939967356210773
10124,2018,12,1,133,0.120500013,0.01939967356210773
10066,2018,1,1,396,0.057750002,0.01939967356210773
10065,2018,1,1,342,0.030000001,0.01939967356210773
950,2019,8,1,46,0.0,0.006189134347155545
11717,2018,1,1,378,0.356000006,0.019930263951486813
7559,2014,11,1,209,0.076368786,0.021076165549330592
7512,2014,3,1,94,0.0,0.021076165549330592
4927,2013,11,1,19,0.0,0.026988235229409144
4926,2013,11,1,12,0.0,0.026988235229409144
2919,2017,10,1,22,0.0,0.02538197271449368
4865,2013,10,1,221,0.159999996,0.026988235229409144
4864,2013,10,1,130,0.0,0.026988235229409144
2952,2018,4,1,8,0.0,0.02538197271449368
2953,2018,4,1,38,0.0,0.02538197271449368
4760,2013,4,1,301,0.524000049,0.026988235229409144
4967,2013,12,1,24,0.0,0.026988235229409144
4759,2013,4,1,195,0.017593827,0.026988235229409144
4699,2013,3,1,15,0.0,0.026988235229409144
4664,2013,2,1,22,0.0,0.026988235229409144
3003,2018,5,1,40,0.0,0.02538197271449368
3004,2018,5,1,26,0.0,0.02538197271449368
4653,2012,12,1,7,0.0,0.026988235229409144
4613,2012,11,1,66,0.0,0.026988235229409144
4612,2012,11,1,10,0.0,0.026988235229409144
3047,2018,6,1,183,0.111118644,0.02538197271449368
4700,2013,3,1,45,0.0,0.026988235229409144
4979,2014,2,1,8,0.0,0.026988235229409144
2853,2017,8,1,196,0.056500003,0.02538197271449368
2852,2017,8,1,110,0.0,0.02538197271449368
5379,2016,9,1,225,0.185000002,0.026988235229409144
2707,2017,5,1,18,0.0,0.02538197271449368
2708,2017,5,1,34,0.028000001,0.02538197271449368
5341,2016,5,1,120,0.109500006,0.026988235229409144
5317,2016,4,1,53,0.0,0.026988235229409144
5278,2015,10,1,230,0.193500012,0.026988235229409144
2755,2017,6,1,197,0.069499999,0.02538197271449368
2756,2017,6,1,293,0.444000006,0.02538197271449368
5240,2015,9,1,192,0.409193128,0.026988235229409144
5203,2015,5,1,327,0.652689219,0.026988235229409144
5178,2015,4,1,275,0.453064501,0.026988235229409144
5177,2015,4,1,175,0.022012817,0.026988235229409144
2800,2017,7,1,178,0.036000002,0.02538197271449368
2801,2017,7,1,269,0.425000012,0.02538197271449368
5095,2014,9,1,210,0.0,0.026988235229409144
5070,2014,6,1,362,0.617500007,0.026988235229409144
5046,2014,4,1,51,0.0,0.026988235229409144
5015,2014,3,1,40,0.0,0.026988235229409144
5014,2014,3,1,12,0.0,0.026988235229409144
3048,2018,6,1,274,0.477610201,0.02538197271449368
5417,2016,10,1,206,0.0,0.026988235229409144
4552,2012,10,1,122,0.026104759,0.026988235229409144
4507,2012,9,1,90,0.190023318,0.026988235229409144
3305,2019,5,1,45,0.0,0.02538197271449368
3306,2019,5,1,57,0.0,0.02538197271449368
3936,2021,5,1,178,0.186500013,0.02538197271449368
3935,2021,5,1,109,0.0,0.02538197271449368
3882,2021,4,1,92,0.0,0.02538197271449368
3881,2021,4,1,18,0.0,0.02538197271449368
3347,2019,6,1,123,0.112000003,0.02538197271449368
3822,2020,10,1,31,0.0,0.02538197271449368
3981,2021,6,1,113,0.0425,0.02538197271449368
3821,2020,10,1,1,0.0,0.02538197271449368
3713,2020,8,1,68,0.0,0.02538197271449368
3437,2019,8,1,120,0.0,0.02538197271449368
3438,2019,8,1,209,0.19250001,0.02538197271449368
3584,2020,5,1,178,0.264500022,0.02538197271449368
3583,2020,5,1,80,0.026958494,0.02538197271449368
3561,2020,4,1,81,0.16172196,0.02538197271449368
3528,2019,10,1,14,0.0,0.02538197271449368
3527,2019,10,1,1,0.0,0.02538197271449368
3384,2019,7,1,122,0.062000003,0.02538197271449368
4028,2021,7,1,174,0.101999998,0.02538197271449368
4029,2021,7,1,264,0.482500017,0.02538197271449368
4070,2021,8,1,93,0.094612107,0.02538197271449368
3084,2018,7,1,142,0.222259179,0.02538197271449368
4443,2012,4,1,171,0.001857659,0.026988235229409144
4387,2012,3,1,107,0.0,0.026988235229409144
4386,2012,3,1,8,0.0,0.026988235229409144
3136,2018,8,1,120,0.0,0.02538197271449368
3137,2018,8,1,208,0.203000009,0.02538197271449368
4350,2012,2,1,5,0.0,0.026988235229409144
4338,2011,12,1,11,0.0,0.026988235229409144
4297,2011,11,1,109,0.0,0.026988235229409144
4296,2011,11,1,36,0.0,0.026988235229409144
4236,2011,10,1,239,0.091499999,0.026988235229409144
3195,2018,10,1,1,0.0,0.02538197271449368
4235,2011,10,1,142,0.0,0.026988235229409144
4194,2011,9,1,204,0.32100001,0.026988235229409144
4132,2021,10,1,45,0.0,0.02538197271449368
4131,2021,10,1,2,0.0,0.02538197271449368
3253,2019,4,1,9,0.0,0.02538197271449368
3254,2019,4,1,81,0.0,0.02538197271449368
4071,2021,8,1,175,0.144000009,0.02538197271449368
4551,2012,10,1,41,0.0,0.026988235229409144
5450,2017,3,1,17,0.0,0.026988235229409144
5491,2017,4,1,88,0.029500002,0.026988235229409144
5514,2017,5,1,159,0.152999997,0.026988235229409144
2151,2013,9,1,58,0.0,0.02538197271449368
6955,2012,3,1,198,0.008809795,0.021076165549330592
6905,2012,2,1,51,0.0,0.021076165549330592
6904,2012,2,1,51,0.0,0.021076165549330592
2200,2013,10,1,48,0.0,0.02538197271449368
6843,2012,1,1,120,0.0,0.021076165549330592
6842,2012,1,1,48,0.0,0.021076165549330592
6781,2011,12,1,76,0.078500003,0.021076165549330592
2150,2013,9,1,21,0.0,0.02538197271449368
6780,2011,12,1,44,0.0,0.021076165549330592
6731,2011,11,1,192,0.145000011,0.021076165549330592
6683,2021,12,1,24,0.0,0.026988235229409144
2267,2014,6,1,180,0.0,0.02538197271449368
2268,2014,6,1,270,0.07,0.02538197271449368
6637,2021,11,1,22,0.0,0.026988235229409144
6636,2021,11,1,12,0.0,0.026988235229409144
6586,2021,10,1,188,0.228500009,0.026988235229409144
6585,2021,10,1,110,0.0,0.026988235229409144
2231,2014,5,1,30,0.0,0.02538197271449368
7006,2012,11,1,128,0.036167853,0.021076165549330592
7055,2012,12,1,10,0.0,0.021076165549330592
7056,2012,12,1,54,0.057979867,0.021076165549330592
1950,2013,5,1,72,0.0,0.02538197271449368
1951,2013,5,1,138,0.06449376,0.02538197271449368
7465,2014,2,1,28,0.0,0.021076165549330592
